time;voltage
15.3625;0.9881
15.3635;0.9881
15.3645;0.9881
15.3655;0.9881
15.3665;0.9881
15.3675;0.9881
15.3685;0.9881
15.3695;0.9881
15.3705;0.9881
15.3715;0.9881
15.3725;0.9881
15.3735;0.9881
15.3745;0.9881
15.3755;0.9881
15.3765;0.9881
15.3775;0.9881
15.3785;0.9881
15.3795;0.9881
15.3805;0.9881
15.3815;0.9881
15.3825;0.9881
15.3835;0.9881
15.3845;0.9881
15.3855;0.9881
15.3865;0.9881
15.3875;0.9881
15.3885;0.9881
15.3895;0.9881
15.3905;0.9881
15.3915;0.9881
15.3925;0.9881
15.3935;0.9881
15.3945;0.9881
15.3955;0.9881
15.3965;0.9881
15.3975;0.9881
15.3985;0.9881
15.3995;0.9881
15.4005;0.9881
15.4015;0.9881
15.4025;0.9881
15.4035;0.9881
15.4045;0.9881
15.4055;0.9881
15.4065;0.9881
15.4075;0.9881
15.4085;0.9881
15.4095;0.9881
15.4105;0.9881
15.4115;0.9881
15.4125;0.9881
15.4135;0.9881
15.4145;0.9881
15.4155;0.9881
15.4165;0.9881
15.4175;0.9881
15.4185;0.9881
15.4195;0.9881
15.4205;0.9881
15.4215;0.9881
15.4225;0.9881
15.4235;0.9881
15.4245;0.9881
15.4255;0.9881
15.4265;0.9881
15.4275;0.9881
15.4285;0.9881
15.4295;0.9881
15.4305;0.9881
15.4315;0.9881
15.4325;0.9881
15.4335;0.9881
15.4345;0.9881
15.4355;0.9881
15.4365;0.9881
15.4375;0.9881
15.4385;0.9881
15.4395;0.9881
15.4405;0.9881
15.4415;0.9881
15.4425;0.9881
15.4435;0.9881
15.4445;0.9881
15.4455;0.9881
15.4465;0.9881
15.4475;0.9881
15.4485;0.9881
15.4495;0.9881
15.4505;0.9881
15.4515;0.9881
15.4525;0.9881
15.4535;0.9881
15.4545;0.9881
15.4555;0.9881
15.4565;0.9881
15.4575;0.9881
15.4585;0.9881
15.4595;0.9881
15.4605;0.9881
15.4615;0.9881
15.4625;0.9881
15.4635;0.9881
15.4645;0.9881
15.4655;0.9881
15.4665;0.9881
15.4675;0.9881
15.4685;0.9881
15.4695;0.9881
15.4705;0.9881
15.4715;0.9881
15.4725;0.9881
15.4735;0.9881
15.4745;0.9881
15.4755;0.9881
15.4765;0.9881
15.4775;0.9881
15.4785;0.9881
15.4795;0.9881
15.4805;0.9881
15.4815;0.9881
15.4825;0.9881
15.4835;0.9881
15.4845;0.9881
15.4855;0.9881
15.4865;0.9881
15.4875;0.9881
15.4885;0.9881
15.4895;0.9881
15.4905;0.9881
15.4915;0.9881
15.4925;0.9881
15.4935;0.9881
15.4945;0.9881
15.4955;0.9881
15.4965;0.9881
15.4975;0.9881
15.4985;0.9881
15.4995;0.9881
15.5005;0.9881
15.5015;0.9881
15.5025;0.9881
15.5035;0.9881
15.5045;0.9881
15.5055;0.9881
15.5065;0.9881
15.5075;0.9881
15.5085;0.9881
15.5095;0.9881
15.5105;0.9881
15.5115;0.9881
15.5125;0.9881
15.5135;0.9881
15.5145;0.9881
15.5155;0.9881
15.5165;0.9881
15.5175;0.9881
15.5185;0.9881
15.5195;0.9881
15.5205;0.9881
15.5215;0.9881
15.5225;0.9881
15.5235;0.9881
15.5245;0.9881
15.5255;0.9881
15.5265;0.9881
15.5275;0.9881
15.5285;0.9881
15.5295;0.9881
15.5305;0.9881
15.5315;0.9881
15.5325;0.9881
15.5335;0.9881
15.5345;0.9881
15.5355;0.9881
15.5365;0.9881
15.5375;0.9881
15.5385;0.9881
15.5395;0.9881
15.5405;0.9881
15.5415;0.9881
15.5425;0.9881
15.5435;0.9881
15.5445;0.9881
15.5455;0.9881
15.5465;0.9881
15.5475;0.9881
15.5485;0.9881
15.5495;0.9881
15.5505;0.9881
15.5515;0.9881
15.5525;0.9881
15.5535;0.9881
15.5545;0.9881
15.5555;0.9881
15.5565;0.9881
15.5575;0.9881
15.5585;0.9881
15.5595;0.9881
15.5605;0.9881
15.5615;0.9881
15.5625;0.9881
15.5635;0.9881
15.5645;0.9881
15.5655;0.9881
15.5665;0.9881
15.5675;0.9881
15.5685;0.9881
15.5695;0.9881
15.5705;0.9881
15.5715;0.9881
15.5725;0.9881
15.5735;0.9881
15.5745;0.9881
15.5755;0.9881
15.5765;0.9881
15.5775;0.9881
15.5785;0.9881
15.5795;0.9881
15.5805;0.9881
15.5815;0.9881
15.5825;0.9881
15.5835;0.9881
15.5845;0.9881
15.5855;0.9881
15.5865;0.9881
15.5875;0.9881
15.5885;0.9881
15.5895;0.9881
15.5905;0.9881
15.5915;0.9881
15.5925;0.9881
15.5935;0.9881
15.5945;0.9881
15.5955;0.9881
15.5965;0.9881
15.5975;0.9881
15.5985;0.9881
15.5995;0.9881
15.6005;0.9881
15.6015;0.9881
15.6025;0.9881
15.6035;0.9881
15.6045;0.9881
15.6055;0.9881
15.6065;0.9881
15.6075;0.9881
15.6085;0.9881
15.6095;0.9881
15.6105;0.9881
15.6115;0.9881
15.6125;0.9881
15.6135;0.9881
15.6145;0.9881
15.6155;0.9881
15.6165;0.9881
15.6175;0.9881
15.6185;0.9881
15.6195;0.9881
15.6205;0.9881
15.6215;0.9881
15.6225;0.9881
15.6235;0.9881
15.6245;0.9881
15.6255;0.9881
15.6265;0.9881
15.6275;0.9881
15.6285;0.9881
15.6295;0.9881
15.6305;0.9881
15.6315;0.9881
15.6325;0.9881
15.6335;0.9881
15.6345;0.9881
15.6355;0.9881
15.6365;0.9881
15.6375;0.9881
15.6385;0.9881
15.6395;0.9881
15.6405;0.9881
15.6415;0.9881
15.6425;0.9881
15.6435;0.9881
15.6445;0.9881
15.6455;0.9881
15.6465;0.9881
15.6475;0.9881
15.6485;0.9881
15.6495;0.9881
15.6505;0.9881
15.6515;0.9881
15.6525;0.9881
15.6535;0.9881
15.6545;0.9881
15.6555;0.9881
15.6565;0.9881
15.6575;0.9881
15.6585;0.9881
15.6595;0.9881
15.6605;0.9881
15.6615;0.9881
15.6625;0.9881
15.6635;0.9881
15.6645;0.9881
15.6655;0.9881
15.6665;0.9881
15.6675;0.9881
15.6685;0.9881
15.6695;0.9881
15.6705;0.9881
15.6715;0.9881
15.6725;0.9881
15.6735;0.9881
15.6745;0.9881
15.6755;0.9881
15.6765;0.9881
15.6775;0.9881
15.6785;0.9881
15.6795;0.9881
15.6805;0.9881
15.6815;0.9881
15.6825;0.9881
15.6835;0.9881
15.6845;0.9881
15.6855;0.9881
15.6865;0.9881
15.6875;0.9881
15.6885;0.9881
15.6895;0.9881
15.6905;0.9881
15.6915;0.9881
15.6925;0.9881
15.6935;0.9881
15.6945;0.9881
15.6955;0.9881
15.6965;0.9881
15.6975;0.9881
15.6985;0.9881
15.6995;0.9881
15.7005;0.9881
15.7015;0.9881
15.7025;0.9881
15.7035;0.9881
15.7045;0.9881
15.7055;0.9881
15.7065;0.9881
15.7075;0.9881
15.7085;0.9881
15.7095;0.9881
15.7105;0.9881
15.7115;0.9881
15.7125;0.9881
15.7135;0.9881
15.7145;0.9881
15.7155;0.9881
15.7165;0.9881
15.7175;0.9881
15.7185;0.9881
15.7195;0.9881
15.7205;0.9881
15.7215;0.9881
15.7225;0.9881
15.7235;0.9881
15.7245;0.9881
15.7255;0.9881
15.7265;0.9881
15.7275;0.9881
15.7285;0.9881
15.7295;0.9881
15.7305;0.9881
15.7315;0.9881
15.7325;0.9881
15.7335;0.9881
15.7345;0.9881
15.7355;0.9881
15.7365;0.9881
15.7375;0.9881
15.7385;0.9881
15.7395;0.9881
15.7405;0.9881
15.7415;0.9881
15.7425;0.9881
15.7435;0.9881
15.7445;0.9881
15.7455;0.9881
15.7465;0.9881
15.7475;0.9881
15.7485;0.9881
15.7495;0.9881
15.7505;0.9881
15.7515;0.9881
15.7525;0.9881
15.7535;0.9881
15.7545;0.9881
15.7555;0.9881
15.7565;0.9881
15.7575;0.9881
15.7585;0.9881
15.7595;0.9881
15.7605;0.9881
15.7615;0.9881
15.7625;0.9881
15.7635;0.9881
15.7645;0.9881
15.7655;0.9881
15.7665;0.9881
15.7675;0.9881
15.7685;0.9881
15.7695;0.9881
15.7705;0.9881
15.7715;0.9881
15.7725;0.9881
15.7735;0.9881
15.7745;0.9881
15.7755;0.9881
15.7765;0.9881
15.7775;0.9881
15.7785;0.9881
15.7795;0.9881
15.7800;0.9881
15.7805;0.9881
15.7809;0.9881
15.7814;0.9881
15.7820;0.9881
15.7825;0.9881
15.7830;0.9881
15.7837;0.9881
15.7847;0.9881
15.7852;0.9881
15.7857;0.9881
15.7864;0.9881
15.7874;0.9881
15.7884;0.9881
15.7894;0.9881
15.7904;0.9881
15.7914;0.9881
15.7924;0.9881
15.7934;0.9881
15.7944;0.9881
15.7954;0.9881
15.7964;0.9882
15.7974;0.9882
15.7984;0.9882
15.7994;0.9882
15.8004;0.9882
15.8014;0.9882
15.8024;0.9882
15.8034;0.9882
15.8044;0.9882
15.8054;0.9882
15.8064;0.9882
15.8074;0.9882
15.8084;0.9882
15.8094;0.9882
15.8104;0.9882
15.8114;0.9882
15.8124;0.9882
15.8134;0.9882
15.8144;0.9882
15.8154;0.9882
15.8164;0.9882
15.8174;0.9882
15.8184;0.9882
15.8194;0.9882
15.8204;0.9882
15.8214;0.9882
15.8224;0.9882
15.8234;0.9882
15.8244;0.9882
15.8254;0.9882
15.8264;0.9882
15.8274;0.9882
15.8284;0.9882
15.8294;0.9882
15.8304;0.9882
15.8314;0.9882
15.8324;0.9882
15.8334;0.9882
15.8344;0.9882
15.8354;0.9882
15.8364;0.9882
15.8374;0.9882
15.8384;0.9882
15.8394;0.9882
15.8404;0.9882
15.8414;0.9882
15.8424;0.9882
15.8434;0.9882
15.8444;0.9882
15.8454;0.9882
15.8464;0.9882
15.8474;0.9882
15.8484;0.9882
15.8494;0.9882
15.8504;0.9882
15.8514;0.9882
15.8524;0.9882
15.8534;0.9882
15.8544;0.9882
15.8554;0.9882
15.8564;0.9882
15.8574;0.9882
15.8584;0.9882
15.8594;0.9882
15.8604;0.9882
15.8614;0.9882
15.8624;0.9882
15.8634;0.9882
15.8644;0.9882
15.8654;0.9882
15.8664;0.9882
15.8674;0.9882
15.8684;0.9882
15.8694;0.9882
15.8704;0.9882
15.8714;0.9882
15.8724;0.9882
15.8734;0.9882
15.8744;0.9882
15.8754;0.9882
15.8764;0.9882
15.8774;0.9882
15.8784;0.9882
15.8794;0.9882
15.8804;0.9882
15.8814;0.9882
15.8824;0.9882
15.8834;0.9882
15.8844;0.9882
