b:tnow in s;m:u in p.u.
0.773333;1.020771
0.774333;1.020775
0.775333;1.020779
0.776333;1.020782
0.777333;1.020786
0.778333;1.020790
0.779333;1.020793
0.780333;1.020797
0.781333;1.020800
0.782333;1.020803
0.783333;1.020806
0.784333;1.020810
0.785333;1.020813
0.786333;1.020816
0.787333;1.020819
0.788333;1.020822
0.789333;1.020824
0.790333;1.020827
0.791333;1.020830
0.792333;1.020832
0.793333;1.020835
0.794333;1.020837
0.795333;1.020840
0.796333;1.020842
0.797333;1.020844
0.798333;1.020846
0.799333;1.020849
0.800333;1.020851
0.801333;1.020853
0.802333;1.020854
0.803333;1.020856
0.804333;1.020858
0.805333;1.020860
0.806333;1.020861
0.807333;1.020863
0.808333;1.020864
0.809333;1.020866
0.810333;1.020867
0.811333;1.020868
0.812333;1.020870
0.813333;1.020871
0.814333;1.020871
0.815333;1.020872
0.816333;1.020873
0.817333;1.020874
0.818333;1.020875
0.819333;1.020875
0.820333;1.020876
0.821333;1.020877
0.822333;1.020878
0.823333;1.020878
0.824333;1.020879
0.825333;1.020879
0.826333;1.020879
0.827333;1.020879
0.828333;1.020879
0.829333;1.020879
0.830333;1.020879
0.831333;1.020879
0.832333;1.020879
0.833333;1.020879
0.834333;1.020879
0.835333;1.020878
0.836333;1.020878
0.837333;1.020877
0.838333;1.020877
0.839333;1.020876
0.840333;1.020876
0.841333;1.020875
0.842333;1.020874
0.843333;1.020873
0.844333;1.020872
0.845333;1.020871
0.846333;1.020870
0.847333;1.020869
0.848333;1.020868
0.849333;1.020867
0.850333;1.020866
0.851333;1.020864
0.852333;1.020863
0.853333;1.020861
0.854333;1.020860
0.855333;1.020858
0.856333;1.020857
0.857333;1.020855
0.858333;1.020853
0.859333;1.020852
0.860333;1.020850
0.861333;1.020848
0.862333;1.020846
0.863333;1.020844
0.864333;1.020842
0.865333;1.020840
0.866333;1.020838
0.867333;1.020836
0.868333;1.020834
0.869333;1.020831
0.870333;1.020829
0.871333;1.020827
0.872333;1.020824
0.873333;1.020822
0.874333;1.020819
0.875333;1.020817
0.876333;1.020814
0.877333;1.020812
0.878333;1.020809
0.879333;1.020806
0.880333;1.020804
0.881333;1.020801
0.882333;1.020798
0.883333;1.020795
0.884333;1.020792
0.885333;1.020790
0.886333;1.020787
0.887333;1.020784
0.888333;1.020781
0.889333;1.020778
0.890333;1.020775
0.891333;1.020771
0.892333;1.020768
0.893333;1.020765
0.894333;1.020762
0.895333;1.020759
0.896333;1.020756
0.897333;1.020752
0.898333;1.020749
0.899333;1.020746
0.900333;1.020742
0.901333;1.020739
0.902333;1.020736
0.903333;1.020732
0.904333;1.020729
0.905333;1.020725
0.906333;1.020722
0.907333;1.020718
0.908333;1.020715
0.909333;1.020711
0.910333;1.020708
0.911333;1.020704
0.912333;1.020701
0.913333;1.020697
0.914333;1.020693
0.915333;1.020690
0.916333;1.020686
0.917333;1.020683
0.918333;1.020679
0.919333;1.020675
0.920333;1.020672
0.921333;1.020668
0.922333;1.020664
0.923333;1.020661
0.924333;1.020657
0.925333;1.020653
0.926333;1.020650
0.927333;1.020646
0.928333;1.020642
0.929333;1.020638
0.930333;1.020635
0.931333;1.020631
0.932333;1.020627
0.933333;1.020624
0.934333;1.020620
0.935333;1.020616
0.936333;1.020613
0.937333;1.020609
0.938333;1.020605
0.939333;1.020602
0.940333;1.020598
0.941333;1.020594
0.942333;1.020591
0.943333;1.020587
0.944333;1.020584
0.945333;1.020580
0.946333;1.020576
0.947333;1.020573
0.948333;1.020569
0.949333;1.020566
0.950333;1.020562
0.951333;1.020559
0.952333;1.020555
0.953333;1.020552
0.954333;1.020548
0.955333;1.020545
0.956333;1.020541
0.957333;1.020538
0.958333;1.020535
0.959333;1.020531
0.960333;1.020528
0.961333;1.020525
0.962333;1.020521
0.963333;1.020518
0.964333;1.020515
0.965333;1.020512
0.966333;1.020508
0.967333;1.020505
0.968333;1.020502
0.969333;1.020499
0.970333;1.020496
0.971333;1.020493
0.972333;1.020490
0.973333;1.020487
0.974333;1.020484
0.975333;1.020481
0.976333;1.020478
0.977333;1.020476
0.978333;1.020473
0.979333;1.020470
0.980333;1.020467
0.981333;1.020465
0.982333;1.020462
0.983333;1.020459
0.984333;1.020457
0.985333;1.020454
0.986333;1.020452
0.987333;1.020449
0.988333;1.020447
0.989333;1.020444
0.990333;1.020442
0.991333;1.020440
0.992333;1.020437
0.993333;1.020435
0.994333;1.020433
0.995333;1.020431
0.996333;1.020429
0.997333;1.020427
0.998333;1.020425
0.999333;1.020423
1.000333;1.020421
1.001333;1.020419
1.002333;1.020418
1.003333;1.020416
1.004333;1.020414
1.005333;1.020412
1.006333;1.020411
1.007333;1.020409
1.008333;1.020408
1.009333;1.020406
1.010333;1.020405
1.011333;1.020404
1.012333;1.020402
1.013333;1.020401
1.014333;1.020400
1.015333;1.020399
1.016333;1.020398
1.017333;1.020397
1.018333;1.020396
1.019333;1.020395
1.020333;1.020394
1.021333;1.020393
1.022333;1.020393
1.023333;1.020392
1.024333;1.020391
1.025333;1.020391
1.026333;1.020390
1.027333;1.020390
1.028333;1.020390
1.029333;1.020389
1.030333;1.020389
1.031333;1.020389
1.032333;1.020389
1.033333;1.020389
1.034333;1.020389
1.035333;1.020389
1.036333;1.020389
1.037333;1.020389
1.038333;1.020389
1.039333;1.020389
1.040333;1.020390
1.041333;1.020390
1.042333;1.020391
1.043333;1.020391
1.044333;1.020392
1.045333;1.020392
1.046333;1.020393
1.047333;1.020394
1.048333;1.020395
1.049333;1.020396
1.050333;1.020397
1.051333;1.020398
1.052333;1.020399
1.053333;1.020400
1.054333;1.020401
1.055333;1.020402
1.056333;1.020404
1.057333;1.020405
1.058333;1.020407
1.059333;1.020408
1.060333;1.020410
1.061333;1.020411
1.062333;1.020413
1.063333;1.020415
1.064333;1.020417
1.065333;1.020419
1.066333;1.020421
1.067333;1.020423
1.068333;1.020425
1.069333;1.020427
1.070333;1.020429
1.071333;1.020432
1.072333;1.020434
1.073333;1.020436
1.074333;1.020439
1.075333;1.020441
1.076333;1.020444
1.077333;1.020447
1.078333;1.020450
1.079333;1.020452
1.080333;1.020455
1.081333;1.020458
1.082333;1.020461
1.083333;1.020464
1.084333;1.020467
1.085333;1.020471
1.086333;1.020474
1.087333;1.020477
1.088333;1.020481
1.089333;1.020484
1.090333;1.020488
1.091333;1.020491
1.092333;1.020495
1.093333;1.020499
1.094333;1.020502
1.095333;1.020506
1.096333;1.020510
1.097333;1.020514
1.098333;1.020518
1.099333;1.020522
1.100333;1.020526
1.101333;1.020530
1.102333;1.020535
1.103333;1.020539
1.104333;1.020543
1.105333;1.020548
1.106333;1.020552
1.107333;1.020557
1.108333;1.020561
1.109333;1.020566
1.110333;1.020571
1.111333;1.020575
1.112333;1.020580
1.113333;1.020585
1.114333;1.020590
1.115333;1.020595
1.116333;1.020600
1.117333;1.020605
1.118333;1.020610
1.119333;1.020616
1.120333;1.020621
1.121333;1.020626
1.122333;1.020632
1.123333;1.020637
1.124333;1.020643
1.125333;1.020648
1.126333;1.020654
1.127333;1.020659
1.128333;1.020665
1.129333;1.020671
1.130333;1.020677
1.131333;1.020682
1.132333;1.020688
1.133333;1.020694
1.134333;1.020700
1.135333;1.020706
1.136333;1.020712
1.137333;1.020719
1.138333;1.020725
1.139333;1.020731
1.140333;1.020737
1.141333;1.020744
1.142333;1.020750
1.143333;1.020756
1.144333;1.020763
1.145333;1.020769
1.146333;1.020776
1.147333;1.020783
1.148333;1.020789
1.149333;1.020796
1.150333;1.020803
1.151333;1.020809
1.152333;1.020816
1.153333;1.020823
1.154333;1.020830
1.155333;1.020837
1.156333;1.020844
1.157333;1.020851
1.158333;1.020858
1.159333;1.020865
1.160333;1.020872
1.161333;1.020879
1.162333;1.020886
1.163333;1.020894
1.164333;1.020901
1.165333;1.020908
1.166333;1.020916
1.167333;1.020923
1.168333;1.020930
1.169333;1.020938
1.170333;1.020945
1.171333;1.020953
1.172333;1.020960
1.173333;1.020968
1.174333;1.020975
1.175333;1.020983
1.176333;1.020991
1.177333;1.020998
1.178333;1.021006
1.179333;1.021014
1.180333;1.021021
1.181333;1.021029
1.182333;1.021037
1.183333;1.021045
1.184333;1.021053
1.185333;1.021061
1.186333;1.021068
1.187333;1.021076
1.188333;1.021084
1.189333;1.021092
1.190333;1.021100
1.191333;1.021108
1.192333;1.021116
1.193333;1.021124
1.194333;1.021132
1.195333;1.021140
1.196333;1.021149
1.197333;1.021157
1.198333;1.021165
1.199333;1.021173
1.200333;1.021181
1.201333;1.021189
1.202333;1.021197
1.203333;1.021206
1.204333;1.021214
1.205333;1.021222
1.206333;1.021230
1.207333;1.021238
1.208333;1.021247
1.209333;1.021255
1.210333;1.021263
1.211333;1.021271
1.212333;1.021280
1.213333;1.021288
1.214333;1.021296
1.215333;1.021305
1.216333;1.021313
1.217333;1.021321
1.218333;1.021330
1.219333;1.021338
1.220333;1.021346
1.221333;1.021355
1.222333;1.021363
1.223333;1.021371
1.224333;1.021380
1.225333;1.021388
1.226333;1.021396
1.227333;1.021405
1.228333;1.021413
1.229333;1.021421
1.230333;1.021430
1.231333;1.021438
1.232333;1.021446
1.233333;1.021455
1.234333;1.021463
1.235333;1.021471
1.236333;1.021480
1.237333;1.021488
1.238333;1.021496
1.239333;1.021505
1.240333;1.021513
1.241333;1.021521
1.242333;1.021529
1.243333;1.021538
1.244333;1.021546
1.245333;1.021554
1.246333;1.021562
1.247333;1.021571
1.248333;1.021579
1.249333;1.021587
1.250333;1.021595
1.251333;1.021603
1.252333;1.021611
1.253333;1.021620
1.254333;1.021628
1.255333;1.021636
1.256333;1.021644
1.257333;1.021652
1.258333;1.021660
1.259333;1.021668
1.260333;1.021676
1.261333;1.021684
1.262333;1.021692
1.263333;1.021700
1.264333;1.021708
1.265333;1.021716
1.266333;1.021724
1.267333;1.021732
1.268333;1.021740
1.269333;1.021746
1.270333;1.021753
1.271333;1.021761
1.272333;1.021771
1.273333;1.021780
1.274333;1.021789
1.274833;1.021794
1.275333;1.021799
1.276000;1.021806
1.277000;1.021815
1.278000;1.021823
1.279000;1.021830
1.280000;1.021836
1.281000;1.021845
1.282000;1.021853
1.283000;1.021861
1.284000;1.021870
1.285000;1.021878
1.286000;1.021886
1.287000;1.021894
1.288000;1.021903
1.289000;1.021911
1.290000;1.021919
1.291000;1.021928
1.292000;1.021937
1.293000;1.021945
1.294000;1.021954
1.295000;1.021963
1.296000;1.021971
1.297000;1.021980
1.298000;1.021988
1.299000;1.021997
1.300000;1.022006
1.301000;1.022014
1.302000;1.022023
1.303000;1.022031
1.304000;1.022040
1.305000;1.022048
1.306000;1.022057
1.307000;1.022065
1.308000;1.022073
1.309000;1.022081
1.310000;1.022090
1.311000;1.022098
1.312000;1.022106
1.313000;1.022114
1.314000;1.022122
1.315000;1.022131
1.316000;1.022139
1.317000;1.022147
1.318000;1.022155
1.319000;1.022163
1.320000;1.022171
1.321000;1.022179
1.322000;1.022187
1.323000;1.022195
1.324000;1.022203
1.325000;1.022211
1.326000;1.022219
1.327000;1.022227
1.328000;1.022235
1.329000;1.022242
1.330000;1.022250
1.331000;1.022258
1.332000;1.022266
1.333000;1.022273
1.334000;1.022281
1.335000;1.022289
1.336000;1.022296
1.337000;1.022304
1.338000;1.022311
1.339000;1.022319
1.340000;1.022326
1.341000;1.022334
1.342000;1.022341
1.343000;1.022349
1.344000;1.022356
1.345000;1.022363
1.346000;1.022371
1.347000;1.022378
1.348000;1.022385
1.349000;1.022392
1.350000;1.022399
1.351000;1.022406
1.352000;1.022413
1.353000;1.022420
1.354000;1.022427
1.355000;1.022434
1.356000;1.022441
1.357000;1.022448
1.358000;1.022455
1.359000;1.022462
1.360000;1.022469
1.361000;1.022475
1.362000;1.022482
1.363000;1.022489
1.364000;1.022495
1.365000;1.022502
1.366000;1.022508
1.367000;1.022515
1.368000;1.022521
1.369000;1.022528
1.370000;1.022534
1.371000;1.022540
1.372000;1.022547
1.373000;1.022553
1.374000;1.022559
1.375000;1.022565
1.376000;1.022571
1.377000;1.022578
1.378000;1.022584
1.379000;1.022590
1.380000;1.022596
1.381000;1.022601
1.382000;1.022607
1.383000;1.022613
1.384000;1.022619
1.385000;1.022625
1.386000;1.022630
1.387000;1.022636
1.388000;1.022642
1.389000;1.022647
